gene_ID	Name	moduleColor	MM	Functional_Category	biological_process	molecular_function
gene:Rv2348c	Rv2348c	darkmagenta	0.89351093	unknown	NA	NA
gene:Rv3144c	PPE52	darkmagenta	0.791003291	PE/PPE	NA	NA
gene:Rv2402	Rv2402	darkmagenta	0.731619662	conserved hypotheticals	carbohydrate metabolic process	hydrolase activity
gene:Rv3059	cyp136	darkmagenta	0.868746697	intermediary metabolism and respiration	lipid metabolic process	oxidoreductase activity
gene:Rv2839c	infB	darkolivegreen	0.523058025	information pathways	NA	translation regulator activity, GTPase activity
gene:Rv1087	PE_PGRS21	darkolivegreen	0.790163094	PE/PPE	NA	NA
gene:Rv2838c	rbfA	darkolivegreen	0.587504416	information pathways	ribosome biogenesis	NA
gene:Rv2837c	Rv2837c	darkolivegreen	0.621138179	conserved hypotheticals	NA	NA
gene:Rv3895c	eccB2	darkolivegreen	0.823971889	cell wall and cell processes	NA	hydrolase activity
gene:Rv1414	Rv1414	darkolivegreen	0.751786677	conserved hypotheticals	cellular amino acid metabolic process	lyase activity
gene:Rv2126c	PE_PGRS37	darkolivegreen	0.782360498	PE/PPE	NA	NA
gene:Rv1450c	PE_PGRS27	darkolivegreen	0.892862902	PE/PPE	NA	NA
gene:Rv2490c	PE_PGRS43	darkolivegreen	0.930112789	PE/PPE	NA	NA
gene:Rv0650	Rv0650	darkolivegreen	0.715993665	intermediary metabolism and respiration	NA	transferase activity
gene:Rv2487c	PE_PGRS42	darkolivegreen	0.75509655	PE/PPE	NA	NA
gene:Rv1074c	fadA3	darkolivegreen	0.418971684	lipid metabolism	lipid metabolic process	transferase activity
gene:Rv1452c	PE_PGRS28	darkolivegreen	0.902283027	PE/PPE	NA	NA
gene:Rv3344c	PE_PGRS49	darkolivegreen	0.938998165	PE/PPE	NA	NA
gene:Rv0210	Rv0210	darkolivegreen	0.816677681	conserved hypotheticals	NA	NA
gene:Rv3514	PE_PGRS57	darkolivegreen	0.691429511	PE/PPE	NA	NA
gene:Rv2540c	aroF	darkolivegreen	0.791277948	intermediary metabolism and respiration	NA	NA
gene:Rv1091	PE_PGRS22	darkolivegreen	0.814587675	PE/PPE	NA	NA
gene:Rv3897c	Rv3897c	darkolivegreen	0.707864169	conserved hypotheticals	NA	NA
gene:Rv1226c	Rv1226c	darkolivegreen	0.654635177	cell wall and cell processes	NA	NA
gene:Rv0162c	adhE1	darkolivegreen	0.893533315	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3659c	Rv3659c	darkolivegreen	0.544697126	conserved hypotheticals	NA	NA
gene:Rv2539c	aroK	darkolivegreen	0.838995332	intermediary metabolism and respiration	cellular amino acid metabolic process	transferase activity
gene:Rv2444c	rne	darkolivegreen	0.857942922	information pathways	ribosome biogenesis	catalytic activity, acting on RNA, hydrolase activity, RNA binding
gene:Rv0255c	cobQ1	darkolivegreen	0.442211979	intermediary metabolism and respiration	NA	NA
gene:Rv3508	PE_PGRS54	darkolivegreen	0.657836795	PE/PPE	NA	NA
gene:Rv1173	fbiC	darkolivegreen	0.80775538	intermediary metabolism and respiration	carbohydrate derivative metabolic process	transferase activity, lyase activity
gene:Rv1396c	PE_PGRS25	darkolivegreen	0.749981917	PE/PPE	NA	NA
gene:Rv1454c	qor	darkolivegreen	0.485644443	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1666c	cyp139	darkolivegreen	0.54068969	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1668c	Rv1668c	darkolivegreen	0.833373891	cell wall and cell processes	NA	NA
gene:Rv0289	espG3	darkolivegreen	0.853246912	cell wall and cell processes	NA	NA
gene:Rv1857	modA	darkolivegreen	0.70211298	cell wall and cell processes	NA	NA
gene:Rv1090	celA2b	darkolivegreen	0.420931113	intermediary metabolism and respiration	carbohydrate metabolic process	hydrolase activity
gene:Rv0539	Rv0539	darkolivegreen	0.846663494	intermediary metabolism and respiration	NA	transferase activity
gene:Rv0860	fadB	darkolivegreen	0.683681792	lipid metabolism	lipid metabolic process	lyase activity, oxidoreductase activity
gene:Rv2538c	aroB	darkolivegreen	0.766699023	intermediary metabolism and respiration	cellular amino acid metabolic process	lyase activity
gene:Rv1446c	opcA	darkolivegreen	0.913981395	intermediary metabolism and respiration	NA	NA
gene:Rv1067c	PE_PGRS19	darkolivegreen	0.68969357	PE/PPE	NA	NA
gene:Rv3511	PE_PGRS55	darkolivegreen	0.7863585	PE/PPE	NA	NA
gene:Rv0992c	Rv0992c	darkolivegreen	0.65918986	conserved hypotheticals	cellular modified amino acid metabolic process	ligase activity
gene:Rv3512	PE_PGRS56	darkolivegreen	0.830798511	PE/PPE	extracellular matrix organization	extracellular matrix, structural molecule activity
gene:Rv2831	echA16	darkolivegreen	0.793764951	lipid metabolism	NA	NA
gene:Rv1667c	Rv1667c	darkolivegreen	0.859445022	cell wall and cell processes	NA	NA
gene:Rv3648c	cspA	darkorange	0.745515912	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	RNA binding, regulation of transcription, DNA-templated, DNA binding
gene:Rv1320c	Rv1320c	darkorange	0.772181433	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, signaling, intracellular	lyase activity, cyclase activity
gene:Rv0630c	recB	darkorange	0.710636943	information pathways	DNA recombination, DNA repair	catalytic activity, acting on DNA, hydrolase activity, DNA binding
gene:Rv3450c	eccB4	darkorange	0.313733049	cell wall and cell processes	NA	hydrolase activity
gene:Rv1562c	treZ	darkorange	0.452303364	virulence, detoxification, adaptation	carbohydrate metabolic process	hydrolase activity
gene:Rv1904	Rv1904	darkorange	0.771055523	conserved hypotheticals	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv1181	pks4	darkorange	0.771338405	lipid metabolism	NA	NA
gene:Rv3234c	tgs3	darkorange	0.744038215	lipid metabolism	lipid metabolic process, carbohydrate metabolic process	transferase activity
gene:Rv0868c	moaD2	darkorange	0.728872835	intermediary metabolism and respiration	NA	NA
gene:Rv3686c	Rv3686c	darkorange	0.857510165	conserved hypotheticals	NA	NA
gene:Rv1368	lprF	darkorange	0.773470158	cell wall and cell processes	NA	lipid binding
gene:Rv3477	PE31	darkorange	0.72755715	PE/PPE	NA	NA
gene:Rv2237	Rv2237	darkorange	0.648481484	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv2327	Rv2327	darkorange	0.488540185	conserved hypotheticals	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv0107c	ctpI	darkorange	0.798862001	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity, hydrolase activity
gene:Rv3685c	cyp137	darkorange	0.803340932	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3612c	Rv3612c	darkorange	0.841548401	conserved hypotheticals	NA	NA
gene:Rv0871	cspB	darkorange	0.865130074	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	RNA binding, regulation of transcription, DNA-templated
gene:Rv3822	Rv3822	darkorange	0.797979144	conserved hypotheticals	NA	NA
gene:Rv0119	fadD7	darkorange	0.626662295	lipid metabolism	lipid metabolic process	ligase activity
gene:Rv3331	sugI	darkorange	0.889973027	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv3198c	uvrD2	darkorange	0.895511039	information pathways	DNA recombination, DNA repair	catalytic activity, acting on DNA, DNA binding, hydrolase activity
gene:Rv1179c	Rv1179c	darkorange	0.883075386	conserved hypotheticals	NA	DNA binding, hydrolase activity
gene:Rv0118c	oxcA	darkorange	0.692905848	intermediary metabolism and respiration	lipid metabolic process	lyase activity
gene:Rv1183	mmpL10	darkorange	0.892085923	cell wall and cell processes	NA	NA
gene:Rv3851	Rv3851	darkorange	0.854516263	cell wall and cell processes	NA	NA
gene:Rv1641	infC	darkorange	0.590179471	information pathways	NA	translation regulator activity
gene:Rv1681	moeX	darkorange	0.790187626	intermediary metabolism and respiration	NA	NA
gene:Rv3522	ltp4	darkorange	0.596256566	lipid metabolism	lipid metabolic process	transferase activity
gene:Rv2288	Rv2288	darkorange	0.58085185	conserved hypotheticals	NA	NA
gene:Rv3479	Rv3479	darkorange	0.930246744	cell wall and cell processes	lipid metabolic process	hydrolase activity
gene:Rv3487c	lipF	darkorange	0.868658266	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv2536	Rv2536	darkorange	0.753652682	cell wall and cell processes	NA	NA
gene:Rv3478	PPE60	darkorange	0.929488351	PE/PPE	NA	NA
gene:Rv0144	Rv0144	darkorange	0.93439672	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv0697	Rv0697	darkorange	0.864181	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv0994	moeA1	darkorange	0.671424111	intermediary metabolism and respiration	protein modification process	transferase activity
gene:Rv3312A	Rv3312A	darkorange	0.799376621	cell wall and cell processes	NA	NA
gene:Rv0696	Rv0696	darkorange	0.879251926	intermediary metabolism and respiration	NA	NA
gene:Rv2682c	dxs1	darkorange	0.569081449	intermediary metabolism and respiration	NA	NA
gene:Rv2493	vapB38	darkorange2	0.737542224	virulence, detoxification, adaptation	NA	NA
gene:Rv3739c	PPE67	darkorange2	0.733599165	PE/PPE	NA	NA
gene:Rv3738c	PPE66	darkorange2	0.630213807	PE/PPE	NA	NA
gene:Rv1374c	Rv1374c	darkorange2	0.642529499	conserved hypotheticals	NA	NA
gene:Rv2063	mazE7	darkorange2	0.630441571	virulence, detoxification, adaptation	detoxification	DNA binding
gene:Rv0731c	Rv0731c	darkorange2	0.565265445	lipid metabolism	NA	transferase activity
gene:Rv0691A	Rv0691A	darkorange2	0.769339394	intermediary metabolism and respiration	NA	NA
gene:Rv0193c	Rv0193c	darkorange2	0.630256161	conserved hypotheticals	NA	NA
gene:Rv1636	TB15.3	darkorange2	0.627046195	virulence, detoxification, adaptation	NA	NA
gene:Rv3597c	lsr2	darkorange2	0.834645315	information pathways	regulation of transcription, DNA-templated	DNA binding, transferase activity
gene:Rv3741c	Rv3741c	darkorange2	0.897156363	intermediary metabolism and respiration	NA	NA
gene:Rv3898c	Rv3898c	darkorange2	0.548883637	conserved hypotheticals	NA	NA
gene:Rv1215c	Rv1215c	darkorange2	0.736809121	conserved hypotheticals	NA	catalytic activity, acting on a protein, hydrolase activity
gene:Rv3740c	Rv3740c	darkorange2	0.862952799	lipid metabolism	lipid metabolic process, carbohydrate metabolic process	transferase activity
gene:Rv1786	Rv1786	darkorange2	0.457812144	intermediary metabolism and respiration	NA	NA
gene:Rv3093c	Rv3093c	darkorange2	0.73582652	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3386	Rv3386	darkorange2	0.54945551	insertion seqs and phages	NA	NA
gene:Rv3742c	Rv3742c	darkorange2	0.873297723	intermediary metabolism and respiration	NA	NA
gene:Rv3094c	Rv3094c	darkorange2	0.687378771	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv2256c	Rv2256c	darkorange2	0.720675597	conserved hypotheticals	NA	NA
gene:Rv3656c	Rv3656c	darkorange2	0.624927983	conserved hypotheticals	NA	NA
gene:Rv1743	pknE	darkorange2	0.374890771	regulatory proteins	protein modification process	catalytic activity, acting on a protein, transferase activity
gene:Rv0308	Rv0308	darkred	0.818115612	cell wall and cell processes	NA	NA
gene:Rv2316	uspA	darkred	0.697668205	cell wall and cell processes	transmembrane transport	NA
gene:Rv0566c	Rv0566c	darkred	0.862419796	conserved hypotheticals	NA	NA
gene:Rv0309	Rv0309	darkred	0.78537139	cell wall and cell processes	NA	NA
gene:Rv2856	nicT	darkred	0.78115125	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0523c	Rv0523c	darkred	0.657815175	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv1746	pknF	darkred	0.692182936	regulatory proteins	protein-containing complex assembly, cytoskeleton organization, protein modification process	catalytic activity, acting on a protein, transferase activity
gene:Rv1984c	cfp21	darkred	0.659076342	cell wall and cell processes	NA	NA
gene:Rv1511	gmdA	darkred	0.800370629	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	lyase activity
gene:Rv1260	Rv1260	darkred	0.838767215	intermediary metabolism and respiration	NA	NA
gene:Rv0927c	Rv0927c	darkred	0.7389856	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2186c	Rv2186c	darkred	0.877371927	conserved hypotheticals	NA	NA
gene:Rv0925c	Rv0925c	darkred	0.853344055	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv1157c	Rv1157c	darkred	0.812409479	conserved hypotheticals	NA	NA
gene:Rv1251c	Rv1251c	darkred	0.670326547	conserved hypotheticals	NA	catalytic activity, acting on DNA
gene:Rv3302c	glpD2	darkred	0.778523853	intermediary metabolism and respiration	carbohydrate derivative metabolic process, carbohydrate metabolic process	oxidoreductase activity
gene:Rv3476c	kgtP	darkred	0.690246213	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv1867	Rv1867	darkred	0.83130023	lipid metabolism	lipid metabolic process	transferase activity
gene:Rv1359	Rv1359	darkred	0.824429411	regulatory proteins	NA	NA
gene:Rv3190A	Rv3190A	darkred	0.850892992	conserved hypotheticals	NA	NA
gene:Rv0102	Rv0102	darkred	0.519530136	cell wall and cell processes	NA	NA
gene:Rv0781	ptrBa	darkred	0.884496892	intermediary metabolism and respiration	NA	catalytic activity, acting on a protein, hydrolase activity
gene:Rv1231c	Rv1231c	darkred	0.770432837	cell wall and cell processes	NA	NA
gene:Rv0044c	Rv0044c	darkred	0.810324207	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2620c	Rv2620c	darkred	0.376768026	cell wall and cell processes	NA	NA
gene:Rv3366	spoU	darkred	0.756788415	information pathways	tRNA metabolic process	RNA binding, transferase activity, catalytic activity, acting on RNA, tRNA metabolic process
gene:Rv0888	Rv0888	darkred	0.708888591	cell wall and cell processes	NA	NA
gene:Rv0937c	mku	darkred	0.836363676	information pathways	DNA repair, DNA recombination	DNA binding
gene:Rv3221c	TB7.3	darkred	0.361917311	lipid metabolism	NA	NA
gene:Rv0304c	PPE5	darkred	0.449884412	PE/PPE	NA	NA
gene:Rv1351	Rv1351	darkred	0.673629238	conserved hypotheticals	NA	NA
gene:Rv1413	Rv1413	darkred	0.4679463	conserved hypotheticals	NA	NA
gene:Rv2817c	Rv2817c	darkred	0.690449638	conserved hypotheticals	NA	NA
gene:Rv2820c	Rv2820c	darkred	0.758038453	conserved hypotheticals	NA	NA
gene:Rv1924c	Rv1924c	darkred	0.784233366	conserved hypotheticals	NA	NA
gene:Rv3379c	dxs2	darkred	0.62663857	intermediary metabolism and respiration	carbohydrate derivative metabolic process, lipid metabolic process, sulfur compound metabolic process, vitamin metabolic process	transferase activity
gene:Rv1686c	Rv1686c	darkred	0.7885334	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv0779c	Rv0779c	darkred	0.79230647	cell wall and cell processes	NA	NA
gene:Rv0583c	lpqN	darkred	0.781172136	cell wall and cell processes	cell wall organization or biogenesis	NA
gene:Rv2819c	Rv2819c	darkred	0.76846828	conserved hypotheticals	NA	NA
gene:Rv2822c	Rv2822c	darkred	0.776544478	conserved hypotheticals	NA	NA
gene:Rv1531	Rv1531	darkred	0.737816142	conserved hypotheticals	detoxification	oxidoreductase activity, antioxidant activity
gene:Rv1262c	Rv1262c	darkred	0.649186798	conserved hypotheticals	nucleobase-containing small molecule metabolic process	NA
gene:Rv2821c	Rv2821c	darkred	0.783696679	conserved hypotheticals	NA	NA
gene:Rv2818c	Rv2818c	darkred	0.83210799	unknown	NA	NA
gene:Rv2998A	Rv2998A	darkred	0.502451001	conserved hypotheticals	signaling, intracellular	protein modification process, signaling, small molecule sensor activity, catalytic activity, acting on a protein, transferase activity
gene:Rv2170	Rv2170	darkred	0.562432618	intermediary metabolism and respiration	NA	transferase activity
gene:Rv0887c	Rv0887c	darkred	0.773018862	conserved hypotheticals	NA	NA
gene:Rv3766	Rv3766	darkred	0.672316794	conserved hypotheticals	NA	NA
gene:Rv3368c	Rv3368c	darkred	0.869851149	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3874	esxB	darkred	0.460872169	cell wall and cell processes	transmembrane transport	NA
gene:Rv1685c	Rv1685c	darkred	0.7235002	conserved hypotheticals	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv1687c	Rv1687c	darkred	0.809963632	cell wall and cell processes	NA	NA
gene:Rv3875	esxA	darkred	0.869111381	cell wall and cell processes	transmembrane transport	NA
gene:Rv1998c	Rv1998c	darkred	0.761828227	conserved hypotheticals	NA	NA
gene:Rv0219	Rv0219	darkred	0.498760824	cell wall and cell processes	NA	NA
gene:Rv0988	Rv0988	darkred	0.487615659	cell wall and cell processes	NA	NA
gene:Rv0926c	Rv0926c	darkred	0.794097001	conserved hypotheticals	NA	NA
gene:Rv0436c	pssA	darkslateblue	0.679741854	lipid metabolism	lipid metabolic process	transferase activity
gene:Rv2733c	Rv2733c	darkslateblue	0.799708071	conserved hypotheticals	NA	NA
gene:Rv3722c	Rv3722c	darkslateblue	0.694075538	conserved hypotheticals	NA	transferase activity
gene:Rv0438c	moeA2	darkslateblue	0.90769862	intermediary metabolism and respiration	NA	NA
gene:Rv2795c	Rv2795c	darkslateblue	0.862218801	conserved hypotheticals	NA	NA
gene:Rv1292	argS	darkslateblue	0.880230574	information pathways	cellular amino acid metabolic process, tRNA metabolic process	catalytic activity, acting on RNA, ligase activity
gene:Rv2248	Rv2248	darkslateblue	0.862823544	conserved hypotheticals	NA	NA
gene:Rv3247c	tmk	darkslateblue	0.748945916	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	nucleobase-containing small molecule metabolic process, transferase activity
gene:Rv3737	Rv3737	darkslateblue	0.827868368	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv3908	mutT4	darkslateblue	0.877710095	information pathways	NA	hydrolase activity
gene:Rv1020	mfd	darkslateblue	0.901984517	information pathways	regulation of transcription, DNA-templated, DNA repair	DNA binding, catalytic activity, acting on DNA, hydrolase activity
gene:Rv0864	moaC2	darkslateblue	0.821690202	intermediary metabolism and respiration	NA	lyase activity
gene:Rv3856c	Rv3856c	darkslateblue	0.836044253	conserved hypotheticals	cell motility	hydrolase activity
gene:Rv1480	Rv1480	darkslateblue	0.84260888	conserved hypotheticals	NA	NA
gene:Rv2750	Rv2750	darkslateblue	0.740275414	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv3712	Rv3712	darkslateblue	0.828868267	intermediary metabolism and respiration	NA	NA
gene:Rv3707c	Rv3707c	darkslateblue	0.880043352	conserved hypotheticals	NA	NA
gene:Rv0875c	Rv0875c	darkslateblue	0.671049765	cell wall and cell processes	NA	NA
gene:Rv0530	Rv0530	darkslateblue	0.695315945	conserved hypotheticals	NA	hydrolase activity
gene:Rv3625c	mesJ	darkslateblue	0.829633605	cell wall and cell processes	NA	NA
gene:Rv1540	Rv1540	darkslateblue	0.86969981	conserved hypotheticals	ribosome biogenesis	isomerase activity, RNA binding, catalytic activity, acting on RNA
gene:Rv1210	tagA	darkslateblue	0.68342315	information pathways	DNA repair	catalytic activity, acting on DNA, hydrolase activity
gene:Rv1723	Rv1723	darkslateblue	0.674962537	intermediary metabolism and respiration	NA	hydrolase activity
gene:Rv3037c	Rv3037c	darkslateblue	0.726864187	conserved hypotheticals	NA	transferase activity
gene:Rv2841c	nusA	darkslateblue	0.548366199	information pathways	transcription, DNA-templated, regulation of transcription, DNA-templated	RNA binding, regulation of transcription, DNA-templated
gene:Rv0537c	Rv0537c	darkslateblue	0.789126541	cell wall and cell processes	NA	NA
gene:Rv2057c	rpmG1	darkslateblue	0.735005464	information pathways	NA	ribosome, structural molecule activity
gene:Rv3626c	Rv3626c	darkslateblue	0.796222974	conserved hypotheticals	NA	NA
gene:Rv0865	mog	darkslateblue	0.663897937	intermediary metabolism and respiration	NA	NA
gene:Rv2409c	Rv2409c	darkslateblue	0.483632225	conserved hypotheticals	NA	NA
gene:Rv3815c	Rv3815c	darkslateblue	0.703940608	intermediary metabolism and respiration	lipid metabolic process	transferase activity
gene:Rv0422c	thiD	darkslateblue	0.798407457	intermediary metabolism and respiration	sulfur compound metabolic process, vitamin metabolic process	transferase activity
gene:Rv3103c	Rv3103c	darkslateblue	0.81729507	conserved hypotheticals	NA	NA
gene:Rv0866	moaE2	darkslateblue	0.768849152	intermediary metabolism and respiration	protein modification process	transferase activity
gene:Rv2712c	Rv2712c	darkturquoise	0.817276429	conserved hypotheticals	NA	NA
gene:Rv1765A	Rv1765A	darkturquoise	0.838970326	insertion seqs and phages	NA	NA
gene:Rv2661c	Rv2661c	darkturquoise	0.743249061	conserved hypotheticals	NA	NA
gene:Rv0579	Rv0579	darkturquoise	0.918240549	conserved hypotheticals	NA	NA
gene:Rv1975	Rv1975	darkturquoise	0.735299208	conserved hypotheticals	NA	NA
gene:Rv0268c	Rv0268c	darkturquoise	0.839643141	conserved hypotheticals	NA	NA
gene:Rv2636	Rv2636	darkturquoise	0.838737687	conserved hypotheticals	NA	transferase activity
gene:Rv2638	Rv2638	darkturquoise	0.913958178	conserved hypotheticals	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv2303c	Rv2303c	darkturquoise	0.791485835	virulence, detoxification, adaptation	NA	hydrolase activity, lyase activity
gene:Rv1829	Rv1829	darkturquoise	0.773581538	conserved hypotheticals	NA	hydrolase activity
gene:Rv2307A	Rv2307A	darkturquoise	0.784606776	conserved hypotheticals	NA	NA
gene:Rv3367	PE_PGRS51	darkturquoise	0.728959472	PE/PPE	NA	NA
gene:Rv0755A	Rv0755A	darkturquoise	0.86479664999999994	insertion seqs and phages	NA	DNA binding
gene:Rv2081c	Rv2081c	darkturquoise	0.793704943	cell wall and cell processes	NA	NA
gene:Rv0621	Rv0621	darkturquoise	0.714642118	cell wall and cell processes	NA	NA
gene:Rv2557	Rv2557	darkturquoise	0.791134101	conserved hypotheticals	NA	NA
gene:Rv1439c	Rv1439c	darkturquoise	0.872789919	conserved hypotheticals	NA	NA
gene:Rv1983	PE_PGRS35	darkturquoise	0.7579194	PE/PPE	NA	NA
gene:Rv3170	aofH	darkturquoise	0.606500386	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2668	Rv2668	darkturquoise	0.798393164	cell wall and cell processes	NA	NA
gene:Rv0294	tam	darkturquoise	0.594034392	intermediary metabolism and respiration	NA	transferase activity
gene:Rv0117	oxyS	darkturquoise	0.710413812	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated
gene:Rv2634c	PE_PGRS46	darkturquoise	0.521765828	PE/PPE	NA	NA
gene:Rv3089	fadD13	darkturquoise	0.712671564	lipid metabolism	lipid metabolic process	transferase activity, ligase activity, lipid metabolic process
gene:Rv1171	Rv1171	darkturquoise	0.844728243	conserved hypotheticals	NA	NA
gene:Rv2176	pknL	darkturquoise	0.797084172	regulatory proteins	protein modification process	catalytic activity, acting on a protein, transferase activity
gene:Rv2093c	tatC	darkturquoise	0.578614343	cell wall and cell processes	transmembrane transport, intracellular protein transport	transmembrane transport, transporter activity
gene:Rv1675c	cmr	darkturquoise	0.613688403	regulatory proteins	regulation of transcription, DNA-templated	DNA binding, regulation of transcription, DNA-templated
gene:Rv0276	Rv0276	darkturquoise	0.776646683	conserved hypotheticals	NA	oxidoreductase activity
gene:Rv1397c	vapC10	darkturquoise	0.771085851	virulence, detoxification, adaptation	NA	catalytic activity, acting on RNA, hydrolase activity
gene:Rv1394c	cyp132	darkturquoise	0.724435016	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv1398c	vapB10	darkturquoise	0.791413687	virulence, detoxification, adaptation	regulation of transcription, DNA-templated	NA
gene:Rv0474	Rv0474	darkturquoise	0.703690336	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv0456c	echA2	darkturquoise	0.773279749	lipid metabolism	NA	DNA binding, lyase activity
gene:Rv0852	Rv0852	darkturquoise	0.641736084	NULL	NA	NA
gene:Rv1393c	Rv1393c	darkturquoise	0.759511929	intermediary metabolism and respiration	NA	NA
gene:Rv1145	Rv1145	darkturquoise	0.790113154	NULL	NA	NA
gene:Rv1172c	PE12	darkturquoise	0.705574131	PE/PPE	NA	NA
gene:Rv1208	gpgS	floralwhite	0.59164709	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	transferase activity
gene:Rv0966c	Rv0966c	floralwhite	0.683775794	conserved hypotheticals	NA	NA
gene:Rv2471	aglA	floralwhite	0.667575219	intermediary metabolism and respiration	carbohydrate metabolic process	hydrolase activity
gene:Rv1002c	Rv1002c	floralwhite	0.825989814	cell wall and cell processes	NA	NA
gene:Rv2689c	Rv2689c	floralwhite	0.540885145	conserved hypotheticals	ribosome biogenesis	ribosome biogenesis, catalytic activity, acting on RNA, transferase activity
gene:Rv2360c	Rv2360c	floralwhite	0.866191634	conserved hypotheticals	NA	NA
gene:Rv3466	Rv3466	floralwhite	0.549506201	insertion seqs and phages	NA	NA
gene:Rv2895c	viuB	floralwhite	0.378310463	intermediary metabolism and respiration	NA	NA
gene:Rv3781	rfbE	floralwhite	0.901448559	cell wall and cell processes	transmembrane transport	transmembrane transport, transporter activity
gene:Rv2811	Rv2811	floralwhite	0.515838805	conserved hypotheticals	NA	NA
gene:Rv0777	purB	floralwhite	0.690037079	intermediary metabolism and respiration	carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process	lyase activity
gene:Rv3724A	cut5a	floralwhite	0.738360757	cell wall and cell processes	NA	hydrolase activity
gene:Rv1823	Rv1823	floralwhite	0.843464918	conserved hypotheticals	NA	NA
gene:Rv1337	Rv1337	floralwhite	0.723634025	cell wall and cell processes	NA	catalytic activity, acting on a protein, hydrolase activity
gene:Rv3050c	Rv3050c	floralwhite	0.79455005	regulatory proteins	regulation of transcription, DNA-templated	regulation of transcription, DNA-templated, DNA binding
gene:Rv0639	nusG	floralwhite	0.80416566	information pathways	regulation of transcription, DNA-templated, transcription, DNA-templated	NA
gene:Rv0127	mak	floralwhite	0.819287456	virulence, detoxification, adaptation	carbohydrate metabolic process, generation of precursor metabolites and energy	transferase activity
gene:Rv3853	rraA	floralwhite	0.631615934	regulatory proteins	NA	transferase activity, molecular function regulator, lyase activity
gene:Rv2915c	Rv2915c	floralwhite	0.735106065	conserved hypotheticals	NA	hydrolase activity
gene:Rv2049c	Rv2049c	floralwhite	0.757996664	conserved hypotheticals	NA	NA
gene:Rv1144	Rv1144	floralwhite	0.695637883	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2339	mmpL9	green	0.727414486	cell wall and cell processes	NA	NA
gene:Rv3042c	serB2	green	0.640462549	intermediary metabolism and respiration	cellular amino acid metabolic process, protein modification process	catalytic activity, acting on a protein, hydrolase activity
gene:Rv3747	Rv3747	green	0.67167893	conserved hypotheticals	NA	NA
gene:Rv2929	Rv2929	green	0.632564008	conserved hypotheticals	NA	NA
gene:Rv2067c	Rv2067c	green	0.858869956	conserved hypotheticals	NA	NA
gene:Rv1728c	Rv1728c	green	0.705571681	conserved hypotheticals	NA	NA
gene:Rv3631	Rv3631	green	0.883864892	intermediary metabolism and respiration	carbohydrate derivative metabolic process, lipid metabolic process	transferase activity
gene:Rv0157	pntB	green	0.851893302	intermediary metabolism and respiration	NA	oxidoreductase activity
gene:Rv2993c	Rv2993c	green	0.837984488	intermediary metabolism and respiration	NA	hydrolase activity, isomerase activity
gene:Rv0155	pntAa	green	0.862850793	intermediary metabolism and respiration	generation of precursor metabolites and energy	oxidoreductase activity
